year,avg_anomaly
1979,0.165
1980,0.25583333333333336
1981,0.32166666666666666
1982,0.13833333333333334
1983,0.3116666666666667
1984,0.15666666666666668
1985,0.1166666666666667
1986,0.17999999999999997
1987,0.32083333333333336
1988,0.3891666666666667
1989,0.2725
1990,0.44750000000000006
1991,0.405
1992,0.2208333333333334
1993,0.23166666666666666
1994,0.31499999999999995
1995,0.4466666666666667
1996,0.33083333333333337
1997,0.4633333333333333
1998,0.6066666666666667
1999,0.38166666666666665
2000,0.3941666666666667
2001,0.535
2002,0.6266666666666668
2003,0.6175
2004,0.5324999999999999
2005,0.6766666666666667
2006,0.6375000000000001
2007,0.6641666666666666
2008,0.5408333333333333
2009,0.6541666666666667
2010,0.7208333333333332
2011,0.6091666666666667
2012,0.6458333333333334
2013,0.6766666666666664
2014,0.7441666666666666
2015,0.8958333333333334
2016,1.0133333333333334
2017,0.9191666666666668
2018,0.8466666666666667
2019,0.9766666666666667
2020,1.0141666666666669
2021,0.8433333333333333
